Node 1 (id),Node 2 (id),Path,Delay (mks)
21,0,"[21, 11, 13, 10, 2, 0]",16449.73839
21,1,"[21, 11, 22, 1]",12581.85163
21,2,"[21, 11, 13, 10, 2]",12264.49133
21,3,"[21, 11, 13, 10, 3]",14319.0817
21,4,"[21, 11, 22, 1, 4]",14049.88382
21,5,"[21, 11, 22, 1, 5]",39318.87705
21,6,"[21, 11, 22, 1, 6]",13204.16717
21,7,"[21, 11, 22, 1, 6, 7]",13896.55109
21,8,"[21, 11, 22, 1, 8]",40719.1559
21,9,"[21, 11, 22, 1, 8, 9]",42467.48198
21,10,"[21, 11, 13, 10]",6852.21063
21,11,"[21, 11]",0
21,12,"[21, 11, 22, 1, 5, 12]",40968.97732
21,13,"[21, 11, 13]",5111.19586
21,14,"[21, 11, 13, 14]",6519.96351
21,15,"[21, 18, 16, 15]",12575.62762
21,16,"[21, 18, 16]",11456.83757
21,17,"[21, 18, 17]",47081.44642
21,18,"[21, 18]",7319.9149
21,19,"[21, 18, 19]",10003.70482
21,20,"[21, 18, 19, 20]",12760.15733
21,21,[21],0
21,22,"[21, 11, 22]",7081.83312
