Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (mks)
0,Washington CDC,-77.03637,38.89511,2,Atlanta,-84.38798,33.749,871.92647,4185.24706
0,Washington CDC,-77.03637,38.89511,4,Boston,-71.05977,42.35843,634.32058,3044.73878
0,Washington CDC,-77.03637,38.89511,5,London,-0.12574,51.50853,5898.55536,28313.06573
0,Washington CDC,-77.03637,38.89511,7,Baltimore,-76.61219,39.29038,57.20013,274.56062
1,New York,-74.00597,40.71427,4,Boston,-71.05977,42.35843,305.84004,1468.03219
1,New York,-74.00597,40.71427,5,London,-0.12574,51.50853,5570.21363,26737.02542
1,New York,-74.00597,40.71427,6,Philadelphia,-75.16379,39.95234,129.64907,622.31554
1,New York,-74.00597,40.71427,8,Amsterdam,4.88969,52.37403,5861.93839,28137.30427
1,New York,-74.00597,40.71427,22,Chicago,-87.65005,41.85003,1145.83719,5500.01851
2,Atlanta,-84.38798,33.749,3,Miami,-80.19366,25.77427,974.52624,4677.72595
2,Atlanta,-84.38798,33.749,10,Houston,-95.36327,29.76328,1127.55848,5412.2807
3,Miami,-80.19366,25.77427,10,Houston,-95.36327,29.76328,1555.59814,7466.87107
5,London,-0.12574,51.50853,8,Amsterdam,4.88969,52.37403,356.93064,1713.26707
5,London,-0.12574,51.50853,12,Paris,2.3488,48.85341,343.77089,1650.10027
6,Philadelphia,-75.16379,39.95234,7,Baltimore,-76.61219,39.29038,144.24665,692.38392
8,Amsterdam,4.88969,52.37403,9,Frankfurt,8.68333,50.11667,364.2346,1748.32608
9,Frankfurt,8.68333,50.11667,12,Paris,2.3488,48.85341,478.49061,2296.75493
10,Houston,-95.36327,29.76328,13,Dallas,-96.80667,32.78306,362.71141,1741.01477
10,Houston,-95.36327,29.76328,14,Austin,-97.74306,30.26715,235.8781,1132.21488
10,Houston,-95.36327,29.76328,20,Phoenix,-112.07404,33.44838,1632.66341,7836.78437
11,None,<hyperedge>,<hyperedge>,13,Dallas,-96.80667,32.78306,<hyperedge>,<hyperedge>
11,None,<hyperedge>,<hyperedge>,21,Denver,-104.9847,39.73915,<hyperedge>,<hyperedge>
11,None,<hyperedge>,<hyperedge>,22,Chicago,-87.65005,41.85003,<hyperedge>,<hyperedge>
13,Dallas,-96.80667,32.78306,14,Austin,-97.74306,30.26715,293.49326,1408.76765
15,Seattle,-122.33207,47.60621,16,Portland,-122.67621,45.52345,233.08126,1118.79005
15,Seattle,-122.33207,47.60621,22,Chicago,-87.65005,41.85003,2788.66264,13385.58067
16,Portland,-122.67621,45.52345,18,San Francisco,-122.41942,37.77493,861.85889,4136.92267
17,Tokyo,139.5813,35.61488,18,San Francisco,-122.41942,37.77493,8283.6524,39761.53152
18,San Francisco,-122.41942,37.77493,19,Los Angeles,-118.24368,34.05223,559.1229,2683.78992
18,San Francisco,-122.41942,37.77493,21,Denver,-104.9847,39.73915,1524.98227,7319.9149
19,Los Angeles,-118.24368,34.05223,20,Phoenix,-112.07404,33.44838,574.26094,2756.45251
