Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (mks)
0,NY54,-74.00597,40.71427,1,CMBR,-71.10561,42.3751,303.88835,1458.66408
0,NY54,-74.00597,40.71427,2,CHCG,-87.65005,41.85003,1145.83719,5500.01851
0,NY54,-74.00597,40.71427,6,PHLA,-75.16379,39.95234,129.64907,622.31554
0,NY54,-74.00597,40.71427,7,WASH,-77.03637,38.89511,328.49072,1576.75546
1,CMBR,-71.10561,42.3751,6,PHLA,-75.16379,39.95234,433.47907,2080.69954
2,CHCG,-87.65005,41.85003,3,CLEV,-81.69541,41.4995,495.99512,2380.77658
2,CHCG,-87.65005,41.85003,6,PHLA,-75.16379,39.95234,1069.39162,5133.07978
2,CHCG,-87.65005,41.85003,9,STLS,-90.19789,38.62727,418.50521,2008.82501
2,CHCG,-87.65005,41.85003,15,DNVR,-104.9847,39.73915,1475.3819,7081.83312
2,CHCG,-87.65005,41.85003,16,KSCY,-94.62746,39.11417,663.62315,3185.39112
2,CHCG,-87.65005,41.85003,17,SNFN,-122.41942,37.77493,2983.39196,14320.28141
2,CHCG,-87.65005,41.85003,20,STTL,-122.33207,47.60621,2788.66264,13385.58067
2,CHCG,-87.65005,41.85003,21,SLKC,-111.89105,40.76078,2021.73632,9704.33434
3,CLEV,-81.69541,41.4995,6,PHLA,-75.16379,39.95234,576.49279,2767.16539
3,CLEV,-81.69541,41.4995,8,NSVL,-86.78444,36.16589,738.63245,3545.43576
3,CLEV,-81.69541,41.4995,9,STLS,-90.19789,38.62727,790.45284,3794.17363
4,RLGH,-78.63861,35.7721,5,ATLN,-84.38798,33.749,571.23465,2741.92632
4,RLGH,-78.63861,35.7721,7,WASH,-77.03637,38.89511,375.02619,1800.12571
5,ATLN,-84.38798,33.749,7,WASH,-77.03637,38.89511,871.92647,4185.24706
5,ATLN,-84.38798,33.749,8,NSVL,-86.78444,36.16589,346.2681,1662.08688
5,ATLN,-84.38798,33.749,9,STLS,-90.19789,38.62727,752.0573,3609.87504
5,ATLN,-84.38798,33.749,13,DLLS,-96.80667,32.78306,1158.88635,5562.65448
5,ATLN,-84.38798,33.749,14,ORLD,-81.37924,28.53834,646.19588,3101.74022
6,PHLA,-75.16379,39.95234,7,WASH,-77.03637,38.89511,199.21839,956.24827
8,NSVL,-86.78444,36.16589,9,STLS,-90.19789,38.62727,407.16833,1954.40798
8,NSVL,-86.78444,36.16589,13,DLLS,-96.80667,32.78306,992.0821,4761.99408
9,STLS,-90.19789,38.62727,13,DLLS,-96.80667,32.78306,881.74058,4232.35478
9,STLS,-90.19789,38.62727,16,KSCY,-94.62746,39.11417,387.24075,1858.7556
9,STLS,-90.19789,38.62727,22,LA03,-118.24368,34.05223,2552.55628,12252.27014
10,NWOR,-90.07507,29.95465,11,HSTN,-95.36327,29.76328,510.36175,2449.7364
10,NWOR,-90.07507,29.95465,13,DLLS,-96.80667,32.78306,712.09124,3418.03795
10,NWOR,-90.07507,29.95465,14,ORLD,-81.37924,28.53834,858.01499,4118.47195
11,HSTN,-95.36327,29.76328,12,SNAN,-98.49363,29.42412,305.00331,1464.01589
11,HSTN,-95.36327,29.76328,13,DLLS,-96.80667,32.78306,362.71141,1741.01477
11,HSTN,-95.36327,29.76328,14,ORLD,-81.37924,28.53834,1363.96831,6547.04789
12,SNAN,-98.49363,29.42412,13,DLLS,-96.80667,32.78306,406.54751,1951.42805
12,SNAN,-98.49363,29.42412,24,PHNX,-112.07404,33.44838,1362.61005,6540.52824
13,DLLS,-96.80667,32.78306,15,DNVR,-104.9847,39.73915,1064.83247,5111.19586
13,DLLS,-96.80667,32.78306,16,KSCY,-94.62746,39.11417,730.73713,3507.53822
13,DLLS,-96.80667,32.78306,17,SNFN,-122.41942,37.77493,2382.1523,11434.33104
13,DLLS,-96.80667,32.78306,22,LA03,-118.24368,34.05223,1990.97281,9556.66949
15,DNVR,-104.9847,39.73915,16,KSCY,-94.62746,39.11417,891.80487,4280.66338
15,DNVR,-104.9847,39.73915,17,SNFN,-122.41942,37.77493,1524.98227,7319.9149
15,DNVR,-104.9847,39.73915,21,SLKC,-111.89105,40.76078,596.86317,2864.94322
16,KSCY,-94.62746,39.11417,17,SNFN,-122.41942,37.77493,2415.51287,11594.46178
17,SNFN,-122.41942,37.77493,18,SCRM,-121.4944,38.58157,120.75721,579.63461
17,SNFN,-122.41942,37.77493,19,PTLD,-122.67621,45.52345,861.85889,4136.92267
17,SNFN,-122.41942,37.77493,20,STTL,-122.33207,47.60621,1093.21157,5247.41554
17,SNFN,-122.41942,37.77493,21,SLKC,-111.89105,40.76078,964.47835,4629.49608
17,SNFN,-122.41942,37.77493,22,LA03,-118.24368,34.05223,559.1229,2683.78992
18,SCRM,-121.4944,38.58157,21,SLKC,-111.89105,40.76078,856.39398,4110.6911
19,PTLD,-122.67621,45.52345,20,STTL,-122.33207,47.60621,233.08126,1118.79005
21,SLKC,-111.89105,40.76078,22,LA03,-118.24368,34.05223,932.83718,4477.61846
22,LA03,-118.24368,34.05223,23,SNDG,-117.15726,32.71533,179.64627,862.3021
22,LA03,-118.24368,34.05223,24,PHNX,-112.07404,33.44838,574.26094,2756.45251
22,LA03,-118.24368,34.05223,24,PHNX,-112.07404,33.44838,574.26094,2756.45251
23,SNDG,-117.15726,32.71533,24,PHNX,-112.07404,33.44838,480.51046,2306.45021
