Node 1 (id),Node 2 (id),Path,Delay (mks)
21,0,"[21, 22, 51, 53, 1, 0]",2595.94204
21,1,"[21, 22, 51, 53, 1]",2269.67068
21,2,"[21, 23, 16, 50, 52, 56, 2]",2215.6873
21,3,"[21, 22, 51, 53, 3]",2441.56872
21,4,"[21, 22, 51, 4]",511.84089
21,5,"[21, 22, 51, 4, 5]",759.3095
21,6,"[21, 22, 51, 53, 7, 6]",2077.65821
21,7,"[21, 22, 51, 53, 7]",1811.34883
21,10,"[21, 22, 51, 10]",982.32623
21,11,"[21, 22, 51, 10, 11]",1284.27201
21,14,"[21, 23, 24, 14]",873.59002
21,16,"[21, 23, 16]",547.776
21,17,"[21, 23, 16, 50, 17]",1479.99696
21,18,"[21, 22, 51, 19, 18]",1306.34164
21,19,"[21, 22, 51, 19]",1111.99732
21,20,"[21, 22, 51, 19, 20]",1230.11462
21,21,[21],0
21,22,"[21, 22]",130.63795
21,23,"[21, 23]",362.92478
21,24,"[21, 23, 24]",690.71496
21,25,"[21, 23, 16, 50, 17, 25]",1680.7045
21,27,"[21, 23, 24, 14, 27]",1174.24244
21,28,"[21, 22, 51, 28]",1128.48278
21,30,"[21, 23, 16, 50, 17, 31, 30]",1936.89754
21,31,"[21, 23, 16, 50, 17, 31]",1936.89754
21,32,"[21, 23, 16, 50, 32]",2048.48462
21,33,"[21, 23, 16, 50, 33]",2196.18062
21,34,"[21, 23, 16, 50, 35, 34]",1640.7263
21,35,"[21, 23, 16, 50, 35]",1266.29592
21,36,"[21, 22, 51, 36]",859.61606
21,37,"[21, 23, 16, 50, 33, 37]",2585.24428
21,38,"[21, 22, 51, 19, 18, 38]",1466.63015
21,39,"[21, 22, 51, 19, 18, 38, 39]",1546.17196
21,40,"[21, 22, 51, 43, 40]",1882.03003
21,41,"[21, 22, 51, 53, 41]",1714.8695
21,42,"[21, 22, 51, 53, 42]",1880.71929
21,43,"[21, 22, 51, 43]",1816.35873
21,44,"[21, 22, 51, 46, 45, 44]",1809.24643
21,45,"[21, 22, 51, 46, 45]",1458.07934
21,46,"[21, 22, 51, 46]",1331.18356
21,47,"[21, 22, 51, 47]",844.6247
21,48,"[21, 23, 16, 50, 52, 48]",2215.6873
21,49,"[21, 23, 16, 50, 52, 48, 49]",2215.6873
21,50,"[21, 23, 16, 50]",999.43632
21,51,"[21, 22, 51]",379.96953
21,52,"[21, 23, 16, 50, 52]",2085.05194
21,53,"[21, 22, 51, 53]",1226.56934
21,54,"[21, 22, 51, 53, 54]",1501.87377
21,55,"[21, 23, 16, 50, 55]",2569.47547
21,56,"[21, 23, 16, 50, 52, 56]",2215.6873
21,57,"[21, 23, 16, 50, 52, 48, 57]",2323.30623
