Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (mks)
0,CHE,12.91667,50.83333,1,LEI,12.37129,51.33962,67.9732,326.27136
0,CHE,12.91667,50.83333,3,DRE,13.73832,51.05089,62.44444,299.73331
1,LEI,12.37129,51.33962,6,JEN,11.58333,50.93333,71.15727,341.5549
1,LEI,12.37129,51.33962,53,ERL,11.00389,49.58972,217.31278,1043.10134
2,ADH,13.41053,52.52437,49,HUB,13.41053,52.52437,0.0,0.0
2,ADH,13.41053,52.52437,56,ZIB,13.41053,52.52437,0.0,0.0
3,DRE,13.73832,51.05089,52,POT,13.06566,52.39886,156.88301,753.03845
3,DRE,13.73832,51.05089,53,ERL,11.00389,49.58972,253.12487,1214.99938
4,GSI,8.64944,49.87056,5,HEI,8.69079,49.40768,51.55596,247.46861
4,GSI,8.64944,49.87056,51,FRA,8.68333,50.11667,27.4732,131.87136
5,HEI,8.69079,49.40768,10,FZK,8.38583,49.00472,49.98497,239.92786
6,JEN,11.58333,50.93333,7,ILM,10.9,50.68333,55.48112,266.30938
7,ILM,10.9,50.68333,53,ERL,11.00389,49.58972,121.82906,584.77949
10,FZK,8.38583,49.00472,11,STU,9.17702,48.78232,62.90537,301.94578
10,FZK,8.38583,49.00472,36,KAI,7.75,49.45,67.70014,324.96067
10,FZK,8.38583,49.00472,51,FRA,8.68333,50.11667,125.49098,602.3567
11,STU,9.17702,48.78232,43,GAR,11.65,48.25,191.51649,919.27915
14,BIE,8.53333,52.03333,24,PAD,8.75439,51.71905,38.09897,182.87506
14,BIE,8.53333,52.03333,27,MUE,7.62571,51.96236,62.63592,300.65242
14,BIE,8.53333,52.03333,50,HAN,9.73322,52.37052,89.95612,431.78938
16,GOE,9.93333,51.53333,23,KAS,9.5,51.31667,38.51067,184.85122
16,GOE,9.93333,51.53333,50,HAN,9.73322,52.37052,94.0959,451.66032
17,BRE,8.80777,53.07516,25,EWE,8.2,53.16667,41.81407,200.70754
17,BRE,8.80777,53.07516,31,HAM,10.0,53.55,95.18762,456.90058
17,BRE,8.80777,53.07516,50,HAN,9.73322,52.37052,100.1168,480.56064
18,WUP,7.18333,51.26667,19,BIR,6.95,50.93333,40.4884,194.34432
18,WUP,7.18333,51.26667,38,DOR,7.45,51.51667,33.39344,160.28851
19,BIR,6.95,50.93333,20,BON,7.1,50.73333,24.60777,118.1173
19,BIR,6.95,50.93333,51,FRA,8.68333,50.11667,152.50579,732.02779
20,BON,7.1,50.73333,46,AAC,6.08342,50.77664,71.67387,344.03458
21,MAR,8.76667,50.81667,22,GIE,8.65,50.58333,27.21624,130.63795
21,MAR,8.76667,50.81667,23,KAS,9.5,51.31667,75.60933,362.92478
22,GIE,8.65,50.58333,51,FRA,8.68333,50.11667,51.94408,249.33158
23,KAS,9.5,51.31667,24,PAD,8.75439,51.71905,68.28962,327.79018
25,EWE,8.2,53.16667,27,MUE,7.62571,51.96236,139.42442,669.23722
27,MUE,7.62571,51.96236,44,DUI,7.01667,51.45,70.75976,339.64685
28,SAA,7.0,49.23333,36,KAI,7.75,49.45,59.43795,285.30216
28,SAA,7.0,49.23333,51,FRA,8.68333,50.11667,155.94026,748.51325
30,DES,10.0,53.55,31,HAM,10.0,53.55,0.0,0.0
30,DES,10.0,53.55,48,TUB,13.41053,52.52437,254.92396,1223.63501
32,KIE,10.13489,54.32133,33,ROS,12.14049,54.0887,132.97234,638.26723
32,KIE,10.13489,54.32133,50,HAN,9.73322,52.37052,218.55173,1049.0483
33,ROS,12.14049,54.0887,37,GRE,13.38333,54.1,81.05493,389.06366
33,ROS,12.14049,54.0887,50,HAN,9.73322,52.37052,249.32173,1196.7443
34,MAG,11.66667,52.16667,35,BRA,10.53333,52.26667,78.00633,374.43038
34,MAG,11.66667,52.16667,52,POT,13.06566,52.39886,98.60476,473.30285
35,BRA,10.53333,52.26667,50,HAN,9.73322,52.37052,55.59575,266.8596
36,KAI,7.75,49.45,51,FRA,8.68333,50.11667,99.92636,479.64653
37,GRE,13.38333,54.1,52,POT,13.06566,52.39886,190.33466,913.60637
38,DOR,7.45,51.51667,39,BOC,7.21667,51.48333,16.57121,79.54181
39,BOC,7.21667,51.48333,44,DUI,7.01667,51.45,14.34136,68.83853
40,FHM,11.57549,48.13743,41,REG,12.09556,49.015,104.81357,503.10514
40,FHM,11.57549,48.13743,43,GAR,11.65,48.25,13.68152,65.6713
41,REG,12.09556,49.015,53,ERL,11.00389,49.58972,101.7292,488.30016
42,AUG,10.88333,48.36667,43,GAR,11.65,48.25,58.1664,279.19872
42,AUG,10.88333,48.36667,53,ERL,11.00389,49.58972,136.28124,654.14995
43,GAR,11.65,48.25,51,FRA,8.68333,50.11667,299.24775,1436.3892
44,DUI,7.01667,51.45,45,FZJ,6.36667,50.93333,73.15981,351.16709
44,DUI,7.01667,51.45,50,HAN,9.73322,52.37052,212.58506,1020.40829
45,FZJ,6.36667,50.93333,46,AAC,6.08342,50.77664,26.43662,126.89578
46,AAC,6.08342,50.77664,51,FRA,8.68333,50.11667,198.16959,951.21403
47,WUE,9.93611,49.78778,51,FRA,8.68333,50.11667,96.80316,464.65517
47,WUE,9.93611,49.78778,53,ERL,11.00389,49.58972,79.90629,383.55019
48,TUB,13.41053,52.52437,49,HUB,13.41053,52.52437,0.0,0.0
48,TUB,13.41053,52.52437,52,POT,13.06566,52.39886,27.2157,130.63536
48,TUB,13.41053,52.52437,56,ZIB,13.41053,52.52437,0.0,0.0
48,TUB,13.41053,52.52437,57,ZEU,13.61667,52.36667,22.42061,107.61893
50,HAN,9.73322,52.37052,51,FRA,8.68333,50.11667,261.04735,1253.02728
50,HAN,9.73322,52.37052,52,POT,13.06566,52.39886,226.16992,1085.61562
50,HAN,9.73322,52.37052,53,ERL,11.00389,49.58972,321.73854,1544.34499
50,HAN,9.73322,52.37052,55,FFO,14.55062,52.34714,327.09149,1570.03915
51,FRA,8.68333,50.11667,52,POT,13.06566,52.39886,396.60999,1903.72795
51,FRA,8.68333,50.11667,53,ERL,11.00389,49.58972,176.37496,846.59981
52,POT,13.06566,52.39886,53,ERL,11.00389,49.58972,344.04426,1651.41245
52,POT,13.06566,52.39886,54,BAY,11.57833,49.94806,291.55995,1399.48776
52,POT,13.06566,52.39886,55,FFO,14.55062,52.34714,100.97094,484.66051
52,POT,13.06566,52.39886,56,ZIB,13.41053,52.52437,27.2157,130.63536
53,ERL,11.00389,49.58972,54,BAY,11.57833,49.94806,57.35509,275.30443
55,FFO,14.55062,52.34714,56,ZIB,13.41053,52.52437,79.75876,382.84205
56,ZIB,13.41053,52.52437,57,ZEU,13.61667,52.36667,22.42061,107.61893
