Node 1 (id),Node 2 (id),Path,Delay (mks)
9,0,"[9, 2, 0]",36934.88702
9,1,"[9, 17, 8, 6, 1]",34161.97905
9,2,"[9, 2]",4677.72595
9,3,"[9, 2, 0, 3]",38651.35564
9,4,"[9, 17, 4]",33886.29562
9,5,"[9, 17, 4, 5]",35634.6217
9,6,"[9, 17, 8, 6]",32511.87878
9,7,"[9, 17, 4, 7]",34719.00572
9,8,"[9, 17, 8]",5774.85336
9,9,[9],0
9,10,"[9, 15, 10]",17921.97998
9,11,"[9, 15, 11]",18728.3784
9,12,"[9, 13, 12]",15028.5263
9,13,"[9, 13]",12272.07379
9,14,"[9, 15, 14]",10735.44509
9,15,"[9, 15]",4536.39931
9,16,"[9, 15, 16]",7908.22992
9,17,"[9, 17]",4093.25962
