Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (mks)
0,Rio De Janeiro,-43.2075,-22.90278,2,Miami,-80.19366,25.77427,6720.24189,32257.16107
0,Rio De Janeiro,-43.2075,-22.90278,2,Miami,-80.19366,25.77427,6720.24189,32257.16107
0,Rio De Janeiro,-43.2075,-22.90278,3,Sao Paulo,-46.63611,-23.5475,357.59763,1716.46862
1,Paris,2.3488,48.85341,5,Frankfurt,8.68333,50.11667,478.49061,2296.75493
1,Paris,2.3488,48.85341,6,London,-0.12574,51.50853,343.77089,1650.10027
1,Paris,2.3488,48.85341,7,Brussels,4.34878,50.85045,264.30842,1268.68042
2,Miami,-80.19366,25.77427,9,Atlanta,-84.38798,33.749,974.52624,4677.72595
2,Miami,-80.19366,25.77427,9,Atlanta,-84.38798,33.749,974.52624,4677.72595
2,Miami,-80.19366,25.77427,14,Dallas,-96.80667,32.78306,1786.88681,8577.05669
4,Amsterdam,4.88969,52.37403,5,Frankfurt,8.68333,50.11667,364.2346,1748.32608
4,Amsterdam,4.88969,52.37403,5,Frankfurt,8.68333,50.11667,364.2346,1748.32608
4,Amsterdam,4.88969,52.37403,5,Frankfurt,8.68333,50.11667,364.2346,1748.32608
4,Amsterdam,4.88969,52.37403,6,London,-0.12574,51.50853,356.93064,1713.26707
4,Amsterdam,4.88969,52.37403,6,London,-0.12574,51.50853,356.93064,1713.26707
4,Amsterdam,4.88969,52.37403,6,London,-0.12574,51.50853,356.93064,1713.26707
4,Amsterdam,4.88969,52.37403,7,Brussels,4.34878,50.85045,173.48127,832.7101
4,Amsterdam,4.88969,52.37403,17,Ashburn,-77.48749,39.04372,6206.8825,29793.036
4,Amsterdam,4.88969,52.37403,17,Ashburn,-77.48749,39.04372,6206.8825,29793.036
6,London,-0.12574,51.50853,8,New York,-74.00597,40.71427,5570.21363,26737.02542
6,London,-0.12574,51.50853,8,New York,-74.00597,40.71427,5570.21363,26737.02542
8,New York,-74.00597,40.71427,15,Chicago,-87.65005,41.85003,1145.83719,5500.01851
8,New York,-74.00597,40.71427,15,Chicago,-87.65005,41.85003,1145.83719,5500.01851
8,New York,-74.00597,40.71427,16,Toronto,-79.4163,43.70011,555.50334,2666.41603
8,New York,-74.00597,40.71427,17,Ashburn,-77.48749,39.04372,350.33203,1681.59374
8,New York,-74.00597,40.71427,17,Ashburn,-77.48749,39.04372,350.33203,1681.59374
8,New York,-74.00597,40.71427,17,Ashburn,-77.48749,39.04372,350.33203,1681.59374
8,New York,-74.00597,40.71427,17,Ashburn,-77.48749,39.04372,350.33203,1681.59374
9,Atlanta,-84.38798,33.749,13,Phoenix,-112.07404,33.44838,2556.68204,12272.07379
9,Atlanta,-84.38798,33.749,15,Chicago,-87.65005,41.85003,945.08319,4536.39931
9,Atlanta,-84.38798,33.749,17,Ashburn,-77.48749,39.04372,852.76242,4093.25962
9,Atlanta,-84.38798,33.749,17,Ashburn,-77.48749,39.04372,852.76242,4093.25962
9,Atlanta,-84.38798,33.749,17,Ashburn,-77.48749,39.04372,852.76242,4093.25962
10,Seattle,-122.33207,47.60621,11,San Jose/San Francisco,-121.89496,37.33939,1142.17577,5482.4437
10,Seattle,-122.33207,47.60621,15,Chicago,-87.65005,41.85003,2788.66264,13385.58067
11,San Jose/San Francisco,-121.89496,37.33939,12,Los Angeles,-118.24368,34.05223,492.17121,2362.42181
11,San Jose/San Francisco,-121.89496,37.33939,12,Los Angeles,-118.24368,34.05223,492.17121,2362.42181
11,San Jose/San Francisco,-121.89496,37.33939,12,Los Angeles,-118.24368,34.05223,492.17121,2362.42181
11,San Jose/San Francisco,-121.89496,37.33939,15,Chicago,-87.65005,41.85003,2956.66231,14191.97909
11,San Jose/San Francisco,-121.89496,37.33939,15,Chicago,-87.65005,41.85003,2956.66231,14191.97909
11,San Jose/San Francisco,-121.89496,37.33939,17,Ashburn,-77.48749,39.04372,3846.74125,18464.358
12,Los Angeles,-118.24368,34.05223,13,Phoenix,-112.07404,33.44838,574.26094,2756.45251
12,Los Angeles,-118.24368,34.05223,13,Phoenix,-112.07404,33.44838,574.26094,2756.45251
12,Los Angeles,-118.24368,34.05223,13,Phoenix,-112.07404,33.44838,574.26094,2756.45251
12,Los Angeles,-118.24368,34.05223,14,Dallas,-96.80667,32.78306,1990.97281,9556.66949
12,Los Angeles,-118.24368,34.05223,15,Chicago,-87.65005,41.85003,2801.87588,13449.00422
13,Phoenix,-112.07404,33.44838,14,Dallas,-96.80667,32.78306,1422.5474,6828.22752
13,Phoenix,-112.07404,33.44838,14,Dallas,-96.80667,32.78306,1422.5474,6828.22752
14,Dallas,-96.80667,32.78306,15,Chicago,-87.65005,41.85003,1291.46787,6199.04578
14,Dallas,-96.80667,32.78306,17,Ashburn,-77.48749,39.04372,1869.21262,8972.22058
14,Dallas,-96.80667,32.78306,17,Ashburn,-77.48749,39.04372,1869.21262,8972.22058
15,Chicago,-87.65005,41.85003,16,Toronto,-79.4163,43.70011,702.46471,3371.83061
15,Chicago,-87.65005,41.85003,17,Ashburn,-77.48749,39.04372,914.1192,4387.77216
15,Chicago,-87.65005,41.85003,17,Ashburn,-77.48749,39.04372,914.1192,4387.77216
