Node 1 (id),Node 2 (id),Path,Delay (mks)
46,0,"[46, 69, 61, 21, 18, 22, 20, 48, 54, 6, 71, 1, 44, 0]",6205.90744
46,1,"[46, 69, 61, 21, 18, 22, 20, 48, 54, 6, 71, 1]",5235.84155
46,2,"[46, 69, 61, 21, 18, 22, 20, 48, 54, 6, 71, 1, 44, 0, 43, 41, 40, 35, 53, 3, 2]",9224.61208
46,3,"[46, 69, 61, 21, 18, 22, 20, 48, 54, 6, 71, 1, 44, 0, 43, 41, 40, 35, 53, 3]",8618.90037
46,4,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 65, 4]",4768.60863
46,5,"[46, 69, 61, 21, 18, 31, 23, 25, 5]",3830.95849
46,6,"[46, 69, 61, 21, 18, 22, 20, 48, 54, 6]",4271.40299
46,7,"[46, 69, 61, 21, 18, 22, 20, 48, 54, 6, 71, 1, 45, 30, 7]",6444.34724
46,8,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 65, 4, 10, 9, 8]",5848.10866
46,9,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 65, 4, 10, 9]",5629.20351
46,10,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 65, 4, 10]",5284.70324
46,11,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 52, 60, 11]",4942.79703
46,12,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 52, 60, 37, 38, 59, 12]",5994.5753
46,13,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 52, 60, 11, 55, 13]",5734.03931
46,14,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 52, 60, 33, 19, 14]",5960.08004
46,15,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 52, 60, 33, 19, 15]",5880.10071
46,16,"[46, 69, 61, 21, 18, 16]",2284.57057
46,18,"[46, 69, 61, 21, 18]",1727.08935
46,19,"[46, 69, 61, 21, 18, 31, 23, 25, 5, 52, 60, 33, 19]",5644.25986
46,20,"[46, 69, 61, 21, 18, 22, 20]",2740.45436
46,21,"[46, 69, 61, 21]",1082.25668
46,22,"[46, 69, 61, 21, 18, 22]",2208.10522
46,23,"[46, 69, 61, 21, 18, 31, 23]",2681.68047
46,24,"[46, 69, 61, 21, 18, 31, 24]",2709.00092
46,25,"[46, 69, 61, 21, 18, 31, 23, 25]",3225.83737
46,26,"[46, 69, 61, 21, 18, 31, 24, 28, 26]",3677.42103
