Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (mks)
0,Culiacan,-107.38972,24.79944,43,Guamuchil,-108.1,25.46667,103.03872,494.58586
0,Culiacan,-107.38972,24.79944,44,La Cruz De Elota,-106.9,23.91667,109.98221,527.91461
1,Mazatlan,-106.41667,23.21667,44,La Cruz De Elota,-106.9,23.91667,92.11485,442.15128
1,Mazatlan,-106.41667,23.21667,45,Escuinapa,-105.8,22.85,75.12939,360.62107
1,Mazatlan,-106.41667,23.21667,71,Las Adjuntas,-105.51667,23.73333,108.28786,519.78173
2,Hermosillo,-110.96667,29.06667,3,Guaymas,-110.9,27.93333,126.18994,605.71171
2,Hermosillo,-110.96667,29.06667,56,Benjamin Hill,-111.1,30.16667,122.99156,590.35949
3,Guaymas,-110.9,27.93333,53,CD Obregon,-109.93333,27.48333,107.51543,516.07406
4,Aguascalientes,-102.3,21.88333,10,Leon,-101.66667,21.11667,107.51971,516.09461
4,Aguascalientes,-102.3,21.88333,65,Saljnas,-101.71667,22.63333,102.75433,493.22078
5,San Luis Potosi,-100.98333,22.15,25,Laguna Seca,-100.95,23.28333,126.0669,605.12112
5,San Luis Potosi,-100.98333,22.15,27,El Huizache,-100.46667,22.93333,101.99117,489.55762
5,San Luis Potosi,-100.98333,22.15,52,San Diego Del Union,-100.86667,21.46667,76.93138,369.27062
5,San Luis Potosi,-100.98333,22.15,65,Saljnas,-101.71667,22.63333,92.58945,444.42936
6,Durango,-104.66667,24.03333,54,Yerbanis,-103.84306,24.73778,114.4248,549.23904
6,Durango,-104.66667,24.03333,71,Las Adjuntas,-105.51667,23.73333,92.63684,444.65683
7,Tepic,-104.9,21.5,29,SN Jose De Gracia,-104.3,21.03333,80.98298,388.7183
7,Tepic,-104.9,21.5,30,Ruiz,-105.15,21.95,56.3086,270.28128
8,Tepatitlan,-102.73333,20.81667,9,San Miguel El Alto,-102.35,21.01667,45.60524,218.90515
8,Tepatitlan,-102.73333,20.81667,75,Guadalajara,-103.33333,20.66667,64.58368,310.00166
9,San Miguel El Alto,-102.35,21.01667,10,Leon,-101.66667,21.11667,71.77089,344.50027
10,Leon,-101.66667,21.11667,55,Irapuato,-101.35,20.68333,58.34301,280.04645
10,Leon,-101.66667,21.11667,55,Irapuato,-101.35,20.68333,58.34301,280.04645
11,Celaya,-100.81667,20.51667,55,Irapuato,-101.35,20.68333,58.52322,280.91146
