Node 1 (id),Node 2 (id),Path,Delay (mks)
88,0,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8, 0]",7301.69581
88,1,"[88, 93, 120, 125, 127, 126, 1]",3926.39482
88,2,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 2]",6253.02709
88,3,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 2, 3]",6855.12959
88,4,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 4]",8299.11834
88,5,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5]",6004.98901
88,6,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6]",5665.98791
88,7,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7]",5308.95244
88,8,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8]",7039.32359
88,9,"[88, 93, 120, 73, 72, 71, 15, 18, 9]",4741.86412
88,10,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8, 0, 10]",8331.53807
88,11,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8, 0, 10, 13, 12, 11]",9557.55499
88,12,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8, 0, 10, 13, 12]",9238.22961
88,13,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8, 0, 10, 13]",8816.20055
88,14,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8, 0, 10, 13, 12, 30, 14]",11125.5815
88,15,"[88, 93, 120, 73, 72, 71, 15]",3956.82691
88,16,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8, 0, 10, 13, 12, 11, 16]",9793.77019
88,17,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 8, 0, 10, 13, 12, 11, 16, 17]",10061.67422
88,18,"[88, 93, 120, 73, 72, 71, 15, 18]",4184.93966
88,19,"[88, 93, 120, 73, 72, 71, 15, 18, 9, 7, 6, 5, 2, 3, 49, 48, 45, 124, 46, 123, 122, 119, 19]",10656.41212
88,20,"[88, 95, 87, 67, 98, 97, 76, 24, 27, 81, 26, 20]",6673.45844
88,21,"[88, 95, 87, 67, 98, 97, 76, 24, 27, 81, 26, 20, 21]",6804.97566
88,22,"[88, 95, 87, 67, 98, 97, 76, 77, 78, 85, 84, 25, 29, 22]",5474.90079
88,23,"[88, 95, 87, 67, 98, 97, 76, 77, 78, 85, 84, 25, 23]",5515.73981
88,24,"[88, 95, 87, 67, 98, 97, 76, 24]",3850.72901
88,25,"[88, 95, 87, 67, 98, 97, 76, 77, 78, 85, 84, 25]",5075.8633
88,26,"[88, 95, 87, 67, 98, 97, 76, 24, 27, 81, 26]",6034.59068
88,27,"[88, 95, 87, 67, 98, 97, 76, 24, 27]",4353.3229
88,28,"[88, 95, 87, 67, 98, 97, 76, 24, 27, 81, 57, 56, 59, 58, 53, 52, 132, 131, 32, 117, 33, 38, 39, 36, 37, 28]",14676.57605
