Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (mks)
0,Varanasi,83.0,25.33333,8,Jaunpur,82.68333,25.73333,54.66088,262.37222
0,Varanasi,83.0,25.33333,10,Patna,85.11667,25.6,214.55047,1029.84226
1,Udaipur,73.69183,24.57117,91,Ahmedabad,72.61667,23.03333,202.98915,974.34792
1,Udaipur,73.69183,24.57117,126,Bhilwara,74.63333,25.35,128.483,616.7184
1,Udaipur,73.69183,24.57117,126,Bhilwara,74.63333,25.35,128.483,616.7184
2,Hadiagarh,81.36667,26.61667,3,Sitapur,80.68333,27.56667,125.43802,602.1025
2,Hadiagarh,81.36667,26.61667,5,Lucknow,80.91667,26.85,51.6746,248.03808
3,Sitapur,80.68333,27.56667,49,Bareilly,79.41667,28.35,151.86685,728.96088
4,Dehradun,78.03168,30.32295,5,Lucknow,80.91667,26.85,477.94361,2294.12933
5,Lucknow,80.91667,26.85,6,Kanpur,80.35,26.46667,70.62523,339.0011
5,Lucknow,80.91667,26.85,8,Jaunpur,82.68333,25.73333,215.48637,1034.33458
6,Kanpur,80.35,26.46667,7,Fatehpur,80.8,25.93333,74.38239,357.03547
7,Fatehpur,80.8,25.93333,9,Allahabad,81.85,25.45,118.1434,567.08832
9,Allahabad,81.85,25.45,18,Rewa,81.3,24.53333,116.02593,556.92446
9,Allahabad,81.85,25.45,19,Jhansi,78.58333,25.43333,328.00857,1574.44114
10,Patna,85.11667,25.6,13,Gaya,84.98333,24.7,100.97135,484.66248
11,Bokaro,85.96667,23.78333,12,Hazaribagh,85.35,23.98333,66.52612,319.32538
11,Bokaro,85.96667,23.78333,16,Dhanbad,86.45,23.8,49.2115,236.2152
11,Bokaro,85.96667,23.78333,17,Asansol,86.98333,23.68333,104.08229,499.59499
11,Bokaro,85.96667,23.78333,31,Jamshedpur,86.18333,22.8,111.55786,535.47773
12,Hazaribagh,85.35,23.98333,13,Gaya,84.98333,24.7,87.92272,422.02906
12,Hazaribagh,85.35,23.98333,30,Ranchi,85.33333,23.35,70.44354,338.12899
14,Kolkata,88.36972,22.56972,30,Ranchi,85.33333,23.35,322.75477,1549.2229
14,Kolkata,88.36972,22.56972,35,Kharagpur,87.33333,22.33333,109.70167,526.56802
15,Satna,80.83333,24.58333,18,Rewa,81.3,24.53333,47.52349,228.11275
15,Satna,80.83333,24.58333,19,Jhansi,78.58333,25.43333,245.63814,1179.06307
15,Satna,80.83333,24.58333,71,Jabalpur,79.95006,23.16697,181.29824,870.23155
16,Dhanbad,86.45,23.8,17,Asansol,86.98333,23.68333,55.81334,267.90403
19,Jhansi,78.58333,25.43333,119,Gwalior,78.17917,26.22361,96.73822,464.34346
20,Torangallu,76.68333,15.2,21,Bellary,76.93333,15.15,27.39942,131.51722
20,Torangallu,76.68333,15.2,26,Raichur,77.36667,16.2,133.09745,638.86776
20,Torangallu,76.68333,15.2,52,Bangalore,77.60329,12.97623,266.43229,1278.87499
21,Bellary,76.93333,15.15,25,Belgaum,74.5,15.86667,272.62621,1308.60581
22,Goa,73.83333,15.48333,23,Hubli,75.16667,15.35,143.69255,689.72424
22,Goa,73.83333,15.48333,29,Panjim,73.83333,15.48333,0.0,0.0
22,Goa,73.83333,15.48333,37,Mangalore,74.88333,12.86667,312.19999,1498.55995
23,Hubli,75.16667,15.35,25,Belgaum,74.5,15.86667,91.64094,439.87651
23,Hubli,75.16667,15.35,54,Hassan,76.09944,13.00056,279.92895,1343.65896
24,Solapur,75.91667,17.68333,25,Belgaum,74.5,15.86667,252.09212,1210.04218
24,Solapur,75.91667,17.68333,27,Gulbarga,76.83333,17.33333,104.70706,502.59389
24,Solapur,75.91667,17.68333,76,Ahmednagar,74.73333,19.08333,199.56104,957.89299
25,Belgaum,74.5,15.86667,29,Panjim,73.83333,15.48333,83.13281,399.03749
25,Belgaum,74.5,15.86667,84,Kolhapur,74.21667,16.7,97.47186,467.86493
26,Raichur,77.36667,16.2,81,Hyderabad,78.47444,17.37528,176.026,844.9248
27,Gulbarga,76.83333,17.33333,81,Hyderabad,78.47444,17.37528,174.23812,836.34298
28,Chitradurg,76.4,14.23333,37,Mangalore,74.88333,12.86667,223.54463,1073.01422
31,Jamshedpur,86.18333,22.8,34,Rourkela,84.88333,22.2,149.28623,716.5739
32,Coimbatore,76.96667,11.0,117,Allepey,76.31667,9.48333,183.02986,878.54333
32,Coimbatore,76.96667,11.0,129,Sivakasi,77.81667,9.45,195.84788,940.06982
32,Coimbatore,76.96667,11.0,130,Trichy,78.69875,10.80289,190.3883,913.86384
32,Coimbatore,76.96667,11.0,131,Tirupur,77.35,11.1,43.28666,207.77597
33,Thirussur,76.21667,10.51667,38,Palghat,76.65,10.78333,55.8713,268.18224
33,Thirussur,76.21667,10.51667,117,Allepey,76.31667,9.48333,115.42278,554.02934
34,Rourkela,84.88333,22.2,60,Raipur,81.63333,21.23333,352.50998,1692.0479
35,Kharagpur,87.33333,22.33333,68,Bhubaneshwar,85.83333,20.23333,280.4939,1346.37072
36,Cannonore,75.35763,11.86752,37,Mangalore,74.88333,12.86667,122.46272,587.82106
36,Cannonore,75.35763,11.86752,39,Kozhikode,75.76667,11.25,81.85679,392.91259
37,Mangalore,74.88333,12.86667,54,Hassan,76.09944,13.00056,132.63267,636.63682
37,Mangalore,74.88333,12.86667,74,Callicut,75.76667,11.25,203.81763,978.32462
38,Palghat,76.65,10.78333,39,Kozhikode,75.76667,11.25,109.48914,525.54787
40,Rohtak,76.56667,28.9,41,Gurgaon,77.03333,28.46667,66.28717,318.17842
40,Rohtak,76.56667,28.9,47,Sonipat,77.01667,28.98333,44.75823,214.8395
40,Rohtak,76.56667,28.9,142,Patiala,76.40028,30.32667,159.45176,765.36845
41,Gurgaon,77.03333,28.46667,46,Delhi,77.22445,28.63576,26.49483,127.17518
42,Bhatinda,74.95,30.2,108,Talwandi Bahi,74.93333,30.85,72.29434,347.01283
43,Kot kapura,74.9,30.58333,108,Talwandi Bahi,74.93333,30.85,29.82304,143.15059
43,Kot kapura,74.9,30.58333,139,Amritsar,74.86556,31.63306,116.77069,560.49931
44,Noida,77.33,28.58,46,Delhi,77.22445,28.63576,12.02542,57.72202
45,Meerut,77.7,28.98333,48,Moradabad,78.78333,28.83333,106.76121,512.45381
